spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,solving_time_feature1_2_7_10286,solving_time_feature8_2_7_10286,solving_time_feature9_1_2_10286,solving_time_feature10_1_2_8287,solving_time_feature11_2_7_4435,solving_time_feature12_2_7_4435,solving_time_amazon_micro_2_7_10286,solving_time_azure_2_7_10286,solving_time_amazon_nano_2_7_10286,solving_time_feature20_2_7_10286
1,0,1,1,0,1,0,1,0,0,0,0,0,0,5,5,5,5,5,5.005,5.01,5,5,0.08
0,1,1,1,0,1,0,1,0,0,0,0,0,0,0.08,0.035,0.065,0.245,0.07,0.04,0.03,0.03,0.04,0
1,1,1,1,0,1,0,1,0,0,0,0,0,0,5.005,5,5,5,5.005,5,5,5,5,0.26
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.04,0.015,0.02,0.14,0.155,0.22,0.015,0.01,0.02,0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,5.01,5.01,5,5,5.005,5,5,5,5,5.01
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0.1,0.04,0.07,0.25,0.06,0.04,0.04,0.04,0.04,0
1,1,0,0,1,1,0,1,0,0,0,0,0,0,5,5.005,5,5,5.005,5,5,5,5,5
0,0,1,0,1,1,0,1,0,0,0,0,0,0,0.04,0.02,0.02,0.145,0.155,0.235,0.015,0.01,0.015,0
1,0,1,0,1,1,0,1,0,0,0,0,0,0,5.005,5.01,5,5,5.005,5,5,5.005,5,5.01
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0.095,0.045,0.07,0.255,0.06,0.04,0.04,0.045,0.04,0
1,1,1,0,1,1,0,1,0,0,0,0,0,0,5.005,5.01,5,5,5.01,5,5,5,5,5
0,0,0,1,1,1,0,1,0,0,0,0,0,0,0.04,0.02,0.02,0.135,0.155,0.235,0.01,0.015,0.015,0
1,0,0,1,1,1,0,1,0,0,0,0,0,0,5.005,5.01,5,5,5.005,5.005,5,5,5,5.01
0,1,0,1,1,1,0,1,0,0,0,0,0,0,0.095,0.045,0.07,0.26,0.06,0.04,0.04,0.04,0.04,0
1,1,0,1,1,1,0,1,0,0,0,0,0,0,5.01,5.01,5,5,5,5,5,5,5,5.005
0,0,1,1,1,1,0,1,0,0,0,0,0,0,0.035,0.02,0.02,0.14,0.15,0.24,0.01,0.02,0.015,0
1,0,1,1,1,1,0,1,0,0,0,0,0,0,5.01,5.01,5,5,5.005,5,5,5,5,5.01
0,1,1,1,1,1,0,1,0,0,0,0,0,0,0.095,0.045,0.065,0.265,0.06,0.04,0.04,0.05,0.035,0
1,1,1,1,1,1,0,1,0,0,0,0,0,0,5.01,5.01,5,5,5,5,5,5,5,5.005
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.035,0.015,0.06,0.125,0.61,0.11,0.015,0.015,0.02,0.08
1,0,0,0,0,0,1,1,0,0,0,0,0,0,5,5.005,5,5,5.005,5.01,5,5,5,5
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.06,0.03,0.02,0.975,0.55,0.08,0.02,0.02,0.02,0.04
1,1,0,0,0,0,1,1,0,0,0,0,0,0,5.01,4.2,5,5,5.01,1.345,3.815,3.825,2.64,5.005
